ID,index,text
5lz33mFSJxA,0,"Hey Peter zein, here coming to you fromthe Front Range Foothills outside ofDenver"
5lz33mFSJxA,1,"Today I wanted to talk about abig issue that is making the rounds inEurope when the bite Administrationrepackaged some of his greenpro-american manufacturing programs, intothe inflation reduction act, it reallyrubbed the Europeans, the wrong waybecause"
5lz33mFSJxA,2,"Here we have this massivestimulus program that is specificallydesigned to restore manufacturing, toNorth America, so foreign companies neednot apply it's basically just formanufacturing, build out in the UnitedStates for American workers on Americansoil with American Capital and theEuropeans, see that as a violation, offree trade rules - and you can Make theargument that there's a legal case to behad there they're starting to threatenWTO action and the Biden Administrationis like tough the bite Administration isdefinitely going to get its way on thisa few things to kind of keep in the backof your mind when you're evaluatingthings, like thisfirst of All this is a political projectjust, like everything else, and the biteAdministration sees this as a way ofgetting its hooks back into the uh thevoting faction that we all know isorganized labor, now organized labor isone of those political factions that isin play between the Republicans and theDemocrats"
5lz33mFSJxA,3,Right now so throwing atrillion dollars
5lz33mFSJxA,4,"Their way is going togo a long way, and since this is thefuture of the democratic party, thatBiden is concerned about don't expecthim to back downsecond"
5lz33mFSJxA,5,"There'S a broader strategicpicture herepart of the whole idea of the globalizedorder that the United States created atthe end of World War II, was that if youlet us write your security policiesvis-a-vis the Soviet Union in the ColdWar, then we will use our Navy toguarantee"
5lz33mFSJxA,6,"Your Commerce, no matter whereit, goes and we will allow you nearduty-free access into the Americanmarket and you do not have to grant usreciprocal access and that in many waysis, the economic foundation of theentirety of the European Union"
5lz33mFSJxA,7,"So theEuropeans have been thinking this waynow since 1945, but the cold war endedback in 1989 and the Americans have beenmoving away from it"
5lz33mFSJxA,8,"Incrementally eversinceObama was very populous, Trump was morepopulous Biden was the most populous wehave now had three presidents in a rowthat from a foreign economic point, ofview have had exactly the same policywith different levels of attention: anddifferent levels of grammar checking, soif you're, an ideologue suck on that Fora little bit, I'm sure it's reallyuncomfortable, but the bottom line is theAmerican political system, no longersubscribes to this guns and butter tradedeal that we had that dates back 75years now, so the Europeans are nowhaving to deal with a More Level PlayingField and they find it veryuncomfortablethird"
5lz33mFSJxA,9,"The Europeans have been doing thisa long time, part of part of the order"
5lz33mFSJxA,10,"Isthat access was only one way, and so theEuropeans are among the more subsidizedmanufacturing sectors in the world, withStates stepping in regularly to bail outor reinforce various economic sectorsacross"
5lz33mFSJxA,11,"The entire system in many wayswhat, the Biden Administration doingright now - is what Europe has been doingfor 75 years and so Biden's Generalposition is you can suck itand then? Finally, let's assume for themoment that the bide Administration, wasfine subsidizing European workers inorder to service the American Marketit wouldn't work anymore anyway"
5lz33mFSJxA,12,"One ofthe many many side effects of theUkraine war is that natural gas flows toEurope have been circumscribed, andeventually they're just going tocollapse completely"
5lz33mFSJxA,13,"We are already at apoint when there are a lot of economicsectors, especially industrial sectors, inEurope that are no longer viable at allin the case of Green Tech, the Europeanshave stoppedprocessing a lot of the non-ferrousmaterials that are required in order tobuild the stuff in the first placewhether"
5lz33mFSJxA,14,That is copper or lithium orwhateverso
5lz33mFSJxA,15,What the Europeans are really askingfor is for the Americans to subsidizeEuropean workers who will be usingprocess materials that they import fromChinaand
5lz33mFSJxA,16,Let'S just say that there is not apowerful American Lobby that wants tosubsidize Europe and China at the sametimeso
5lz33mFSJxA,17,It'S not going to happen Biden'sgoing to get his wayokay
5lz33mFSJxA,18,That'S it for me until next time
5lz33mFSJxA,19,""
