ID,startMs,endMs,text
99xBw2-M3_Q,60,2580,hello from Colorado everybody Peter Zion
99xBw2-M3_Q,2580,5040,here if you have been following me then
99xBw2-M3_Q,5040,6960,you are aware that we're kind of in a
99xBw2-M3_Q,6960,9540,bit of a holding pattern in the Ukraine
99xBw2-M3_Q,9540,11040,war it's not that I don't think they
99xBw2-M3_Q,11040,12660,expect to be conflict in fact I think
99xBw2-M3_Q,12660,13980,that ukrainians are going to launch a
99xBw2-M3_Q,13980,15719,serious offensive but we're not going to
99xBw2-M3_Q,15719,19080,get our real fight until the spring when
99xBw2-M3_Q,19080,20760,the mud is gone and the Russians have
99xBw2-M3_Q,20760,22619,half a million new troops in the fight
99xBw2-M3_Q,22619,24300,and the ukrainians have done all that
99xBw2-M3_Q,24300,25619,deferred maintenance and all that
99xBw2-M3_Q,25619,27060,Russian equipment that they've captured
99xBw2-M3_Q,27060,28260,then we're going to see the two of them
99xBw2-M3_Q,28260,30060,really go at it
99xBw2-M3_Q,30060,32640,until then we're going to have this idea
99xBw2-M3_Q,32640,34079,that the ukrainians are on the front
99xBw2-M3_Q,34079,35700,foot and they are and that the Russians
99xBw2-M3_Q,35700,37079,are reacting and reacting poorly and
99xBw2-M3_Q,37079,40379,badly and they are but while all of that
99xBw2-M3_Q,40379,42600,is going on it's not like the Russians
99xBw2-M3_Q,42600,45600,don't have tools as we started to see a
99xBw2-M3_Q,45600,47040,few weeks ago and as we're going to see
99xBw2-M3_Q,47040,49079,more and more intently moving forward
99xBw2-M3_Q,49079,52020,the ukrainians have the momentum they're
99xBw2-M3_Q,52020,53700,getting more and more gear and the
99xBw2-M3_Q,53700,56039,Russians know that that's not a tide
99xBw2-M3_Q,56039,58199,that they can blunt so what they're
99xBw2-M3_Q,58199,60239,trying to do is to destroy the ability
99xBw2-M3_Q,60239,62640,of Ukraine to function at all as a
99xBw2-M3_Q,62640,64440,country by going after water and power
99xBw2-M3_Q,64440,66540,infrastructure particularly in the dead
99xBw2-M3_Q,66540,68880,of winter the logic being that if they
99xBw2-M3_Q,68880,70320,can break the ukrainian's ability to
99xBw2-M3_Q,70320,73320,have a modern society and Industry then
99xBw2-M3_Q,73320,74580,the rest of the war really doesn't
99xBw2-M3_Q,74580,76080,matter because the capacity of
99xBw2-M3_Q,76080,78420,ukrainians to fight and to resist and to
99xBw2-M3_Q,78420,80159,advance simply dissolves into nothing
99xBw2-M3_Q,80159,81720,and then the war is over and the
99xBw2-M3_Q,81720,83100,Russians just walk in and take over
99xBw2-M3_Q,83100,85439,that's the logic anyway
99xBw2-M3_Q,85439,87299,how it's going to play out real time is
99xBw2-M3_Q,87299,89580,some immense human suffering on a scale
99xBw2-M3_Q,89580,91380,we haven't seen yet and remember we've
99xBw2-M3_Q,91380,92939,already had one third of the Ukrainian
99xBw2-M3_Q,92939,95460,population uprooted and displaced or
99xBw2-M3_Q,95460,98340,become refugees so the scale is already
99xBw2-M3_Q,98340,100439,pretty big and the scale of what's
99xBw2-M3_Q,100439,102659,coming is going to be even bigger
99xBw2-M3_Q,102659,104280,several Ukrainian cities have
99xBw2-M3_Q,104280,106259,populations over a million and if you
99xBw2-M3_Q,106259,107939,remove the support infrastructure that
