ID,startMs,endMs,text
QzT38jCUpgU,0,1979,hello everyone Peter zein here coming to
QzT38jCUpgU,1979,4020,you from Colorado I hope everyone had a
QzT38jCUpgU,4020,5759,great Thanksgiving and I hope it kicked
QzT38jCUpgU,5759,7680,off a fantastic holiday season for
QzT38jCUpgU,7680,9599,everyone holiday Christmas Hanukkah ones
QzT38jCUpgU,9599,11160,whatever you call it whatever makes you
QzT38jCUpgU,11160,12780,happy just that's somebody else's
QzT38jCUpgU,12780,14940,culture War issue uh today we're going
QzT38jCUpgU,14940,16198,to talk about something significantly
QzT38jCUpgU,16198,18180,more significant
QzT38jCUpgU,18180,20880,sure and that is the end of China which
QzT38jCUpgU,20880,22680,is moving out of the realm of the
QzT38jCUpgU,22680,24720,theoretical and the historic into the
QzT38jCUpgU,24720,26039,Here and Now
QzT38jCUpgU,26039,27900,what's going on right now is there are
QzT38jCUpgU,27900,29400,protests involving thousands of people
QzT38jCUpgU,29400,31140,against the government that are at least
QzT38jCUpgU,31140,32279,nominally
QzT38jCUpgU,32279,35219,about covid restrictions now ostensively
QzT38jCUpgU,35219,37079,there have been two triggers for these
QzT38jCUpgU,37079,39680,sort of mass core semi-coordinated
QzT38jCUpgU,39680,42840,protests the first was a fire that
QzT38jCUpgU,42840,44640,occurred in the western city of arumchi
QzT38jCUpgU,44640,46079,that killed people who were undercovered
QzT38jCUpgU,46079,47219,quarantine
QzT38jCUpgU,47219,49920,according to Chinese laws when it comes
QzT38jCUpgU,49920,51239,to quarantine
QzT38jCUpgU,51239,52680,people can't move and it doesn't matter
QzT38jCUpgU,52680,55020,if your building's on fire and it also
QzT38jCUpgU,55020,56280,meant that the fire surfaces couldn't
QzT38jCUpgU,56280,58260,get into the building to do battle with
QzT38jCUpgU,58260,60660,the fire anyway it's policy in China to
QzT38jCUpgU,60660,62039,weld people into their homes and their
QzT38jCUpgU,62039,63420,buildings when they're under quarantine
QzT38jCUpgU,63420,65280,so toss in a fire and
QzT38jCUpgU,65280,68400,shrug second the World Cup
QzT38jCUpgU,68400,71159,China is an information State and part
QzT38jCUpgU,71159,73380,of that means that the state lies to you
QzT38jCUpgU,73380,75119,about anything it finds inconvenient
QzT38jCUpgU,75119,77340,like the fact that most of the world has
QzT38jCUpgU,77340,79979,found a way to move on from covid well
QzT38jCUpgU,79979,83400,the World Cup's live broadcasts showed
QzT38jCUpgU,83400,85500,tens of thousands of cheering and
QzT38jCUpgU,85500,88979,buoying fans without masks and well
QzT38jCUpgU,88979,91200,folks got cheesed off
QzT38jCUpgU,91200,93180,so we now have protests in every major
QzT38jCUpgU,93180,95280,city the overall number is at least in
QzT38jCUpgU,95280,96600,the high tens of thousands of people
QzT38jCUpgU,96600,99000,participating and it's difficult to know
QzT38jCUpgU,99000,100920,more detail than that because it's an
QzT38jCUpgU,100920,103439,information State China is a bit of a
QzT38jCUpgU,103439,106799,black box for policy because China is a
QzT38jCUpgU,106799,110100,one-man state but that one-man state is
QzT38jCUpgU,110100,112680,becoming overwhelmed with non-compliance
QzT38jCUpgU,112680,115259,and the government just doesn't have the
QzT38jCUpgU,115259,117420,bandwidth to come up with policies that
QzT38jCUpgU,117420,120060,most people would consider normal but I
QzT38jCUpgU,120060,121380,think the best word we can use here is
QzT38jCUpgU,121380,124079,creative one person only has so much
QzT38jCUpgU,124079,126180,bandwidth and so we're seeing
QzT38jCUpgU,126180,128340,institutional freezing and breakdown
QzT38jCUpgU,128340,130739,because this this isn't the United
QzT38jCUpgU,130739,132660,States where a bunch of suburban
QzT38jCUpgU,132660,134879,Housewives to send a masculus on a food
QzT38jCUpgU,134879,137099,court and start yelling let's go Brandon
QzT38jCUpgU,137099,139319,or a few yahoos glue themselves to a
QzT38jCUpgU,139319,141599,museum wall we can obviously get through
QzT38jCUpgU,141599,143640,crap like that but it isn't clear that
QzT38jCUpgU,143640,145440,China can
QzT38jCUpgU,145440,148440,it has to do with a different structure
QzT38jCUpgU,148440,150780,the United States has different levels
QzT38jCUpgU,150780,153480,of authority local State national
QzT38jCUpgU,153480,155819,legislative judicial executive
QzT38jCUpgU,155819,158000,neighborhood business academic and so on
QzT38jCUpgU,158000,160560,independently garnered constitutionally
QzT38jCUpgU,160560,162900,garnered Community created overlapping
QzT38jCUpgU,162900,165840,sometimes clashing often messy but
QzT38jCUpgU,165840,168720,interests generate power generates
QzT38jCUpgU,168720,172560,Authority generates durability not in
QzT38jCUpgU,172560,174900,China China is a one-man State because
QzT38jCUpgU,174900,177120,it is nearly the only way that China can
QzT38jCUpgU,177120,178560,exist
QzT38jCUpgU,178560,181379,this isn't Sweden or Denmark or France
