ID,startMs,endMs,text
bK397YwduhQ,0,1920,hey everybody Peter zein here coming to
bK397YwduhQ,1920,4200,you from Colorado uh today I wanted to
bK397YwduhQ,4200,6240,look at the financial situation from a
bK397YwduhQ,6240,7740,slightly different anger angle and
bK397YwduhQ,7740,9900,that's one of Workforce so one of the
bK397YwduhQ,9900,11880,things that happens when capital is
bK397YwduhQ,11880,13740,really cheap for a really long time and
bK397YwduhQ,13740,15839,everyone can borrow at ridiculous rates
bK397YwduhQ,15839,18180,and the stock market is booming is you
bK397YwduhQ,18180,20760,get a lot of money that is chasing
bK397YwduhQ,20760,23640,projects that were probably let's just
bK397YwduhQ,23640,25880,call them risky not necessarily stupid
bK397YwduhQ,25880,29460,but there was an investment idea behind
bK397YwduhQ,29460,32880,them and it probably was okay but it
bK397YwduhQ,32880,34559,required either really really high
bK397YwduhQ,34559,36420,payouts or really really cheap money to
bK397YwduhQ,36420,38700,give it a try and that is something we
bK397YwduhQ,38700,40620,have seen throughout the tech space uh
bK397YwduhQ,40620,42480,Silicon Valley and all that now of going
bK397YwduhQ,42480,45239,back for 15 20 years and it's been a
bK397YwduhQ,45239,46620,kind of a great environment because
bK397YwduhQ,46620,48780,you've had really cheap Capital you've
bK397YwduhQ,48780,50160,had the Millennials coming of age and
bK397YwduhQ,50160,51660,being in their 20s and then their 30s
bK397YwduhQ,51660,53879,providing an ample Workforce that is
bK397YwduhQ,53879,56340,tech savvy you marry those two things
bK397YwduhQ,56340,58440,together and you can take a little bit
bK397YwduhQ,58440,61739,of a longer range with your investment
bK397YwduhQ,61739,63600,strategy because you don't have to get
bK397YwduhQ,63600,65640,the payout right away because the costs
bK397YwduhQ,65640,67680,for taking the long term are low because
bK397YwduhQ,67680,69180,the cost of the money to make it run in
bK397YwduhQ,69180,71700,the short and the midterm are low
bK397YwduhQ,71700,74220,and that allows companies like meta or
bK397YwduhQ,74220,77220,Amazon or Google to just Hoover up huge
bK397YwduhQ,77220,78720,amounts of the workforce because they
bK397YwduhQ,78720,80880,can afford to do so and the stock market
bK397YwduhQ,80880,82979,plays a role because people see these as
bK397YwduhQ,82979,87299,long range world changing Technologies
bK397YwduhQ,87299,89340,implementing new things and greater
bK397YwduhQ,89340,90840,efficiencies and basically making life
bK397YwduhQ,90840,92040,better for everyone and they're willing
bK397YwduhQ,92040,93479,to put their money behind that stock
bK397YwduhQ,93479,95340,markets go to the roof
bK397YwduhQ,95340,98220,it also works in Reverse when the money
bK397YwduhQ,98220,101759,starts to become more expensive then
bK397YwduhQ,101759,104100,nothing that worked before Works any
bK397YwduhQ,104100,105960,longer all of a sudden the long term
bK397YwduhQ,105960,108180,looks a little risky and the short and
bK397YwduhQ,108180,110100,the midterm gets a lot more expensive
bK397YwduhQ,110100,112200,and so we are seeing all of the tech
bK397YwduhQ,112200,115380,companies now shedding jobs that they've
