ID,startMs,endMs,text
w93XoP5g95o,0,2040,hey everybody Peter zein here coming to
w93XoP5g95o,2040,5100,you from Colorado uh the news of this
w93XoP5g95o,5100,7560,week is this oil export ban that the
w93XoP5g95o,7560,10800,Europeans are putting in place the idea
w93XoP5g95o,10800,13920,is that Russia will still be able to
w93XoP5g95o,13920,15740,export their crew to International
w93XoP5g95o,15740,19320,markets but there is now a price cap in
w93XoP5g95o,19320,22020,what they can ask it's currently it's
w93XoP5g95o,22020,23820,set at 60 although they will change that
w93XoP5g95o,23820,25439,over time based on what happens what
w93XoP5g95o,25439,27080,happens with International Energy prices
w93XoP5g95o,27080,29880,the enforcement mechanism is that the
w93XoP5g95o,29880,32040,Europeans dominate global insurance and
w93XoP5g95o,32040,34739,Global Maritime services and that any
w93XoP5g95o,34739,36899,vessel that is carrying crude that is
w93XoP5g95o,36899,38820,above that sixty dollars that was the
w93XoP5g95o,38820,41399,sale Point won't be able to access any
w93XoP5g95o,41399,43620,European Financial or physical services
w93XoP5g95o,43620,45840,so that's Port access that's insurance
w93XoP5g95o,45840,47760,policies and without a maritime
w93XoP5g95o,47760,50340,insurance policy Your Vessel could not
w93XoP5g95o,50340,52440,interport exit port or leave a
w93XoP5g95o,52440,54120,constrained Waterway say like the Suez
w93XoP5g95o,54120,56399,Canal or the Turkish Straits
w93XoP5g95o,56399,60000,now this is this is unprecedented in any
w93XoP5g95o,60000,61199,number of ways and so I really don't
w93XoP5g95o,61199,63539,know how it's going to play out so the
w93XoP5g95o,63539,65640,purpose of this video is less to give
w93XoP5g95o,65640,67619,you a firm forecast but to give you an
w93XoP5g95o,67619,69840,idea of kind of the Matrix of factors
w93XoP5g95o,69840,72600,and what matters so that you can kind of
w93XoP5g95o,72600,74100,draw your own conclusions and have some
w93XoP5g95o,74100,76860,idea of what to look for the first and
w93XoP5g95o,76860,78240,most important thing to keep in mind is
w93XoP5g95o,78240,81000,that not all crude oil is made equal
w93XoP5g95o,81000,84000,crude oil is not fungible you can't take
w93XoP5g95o,84000,86340,crude from a Texas field and put it into
w93XoP5g95o,86340,87960,Refinery that was designed for crude
w93XoP5g95o,87960,89400,from a Saudi Arabian field and vice
w93XoP5g95o,89400,91860,versa and even within Russia we have
w93XoP5g95o,91860,94140,multiple crude grades the first one the
w93XoP5g95o,94140,95220,one that matters the most is called
w93XoP5g95o,95220,96439,Euros crude
w93XoP5g95o,96439,100200,u-r-a-l-s uh it is basically everything
w93XoP5g95o,100200,102600,that comes from the Northern or Western
w93XoP5g95o,102600,105000,Siberian projects as well as a lot of
w93XoP5g95o,105000,106200,stuff that comes from Southern Russia
w93XoP5g95o,106200,107640,it's all put into the same network and
w93XoP5g95o,107640,111119,sent West to export points via pipe that
w93XoP5g95o,111119,112500,go through Ukraine or Belarus to Europe
w93XoP5g95o,112500,115860,or to ports on the Black Sea or the
w93XoP5g95o,115860,118500,Baltic Sea and collectively you're
w93XoP5g95o,118500,120840,talking here about about five maybe five
w93XoP5g95o,120840,122280,and a half million barrels a day in
w93XoP5g95o,122280,124500,every given moment of which about half
w93XoP5g95o,124500,126899,of which is exported
w93XoP5g95o,126899,132060,now if if if this cap goes wrong and the
w93XoP5g95o,132060,134220,Russians decide that they're not going
w93XoP5g95o,134220,136319,to produce at a price that they cannot
w93XoP5g95o,136319,139440,influence much less control then what
w93XoP5g95o,139440,141000,would happen is pressure would build up
w93XoP5g95o,141000,142620,in the pipes all the way back up to the
w93XoP5g95o,142620,144180,wellheads and since this is in
w93XoP5g95o,144180,146819,permafrost when the oil stops flowing in
w93XoP5g95o,146819,149340,permafrost it turns to gel becomes a
w93XoP5g95o,149340,151379,plug in the pipeline and the water that
w93XoP5g95o,151379,153300,comes up as a byproduct freezes into ice
w93XoP5g95o,153300,154860,and when water freezes it cracks the
w93XoP5g95o,154860,156300,pipe from the inside and it takes years
w93XoP5g95o,156300,158940,if not decades to repair that sort of
w93XoP5g95o,158940,161040,system the last time this happened at
w93XoP5g95o,161040,161940,scale
w93XoP5g95o,161940,164340,it was 1992
w93XoP5g95o,164340,167640,and in 1992 everything went offline they
w93XoP5g95o,167640,169319,took the Russians 30 years to repair the
w93XoP5g95o,169319,171360,damage only most of the repair work was
w93XoP5g95o,171360,174060,not done by the Russians it was done by
w93XoP5g95o,174060,176040,oil services firms and they are no
w93XoP5g95o,176040,177780,longer operating in Russia for the most
w93XoP5g95o,177780,178800,part
w93XoP5g95o,178800,180660,now will this happen again that is the
w93XoP5g95o,180660,182879,open question this is a prediction that
w93XoP5g95o,182879,185280,I made back in I want to say April when
w93XoP5g95o,185280,186720,the world was just going on it looked
w93XoP5g95o,186720,187739,like we were going to get to see
w93XoP5g95o,187739,190200,significant shut-ins and we did to the
w93XoP5g95o,190200,192319,tune of about a million barrels a day
w93XoP5g95o,192319,195900,but not all of the inputs that go into
w93XoP5g95o,195900,199319,Euros crude come from Western Siberia in
w93XoP5g95o,199319,201480,the permafrost there's about a million
w93XoP5g95o,201480,203400,maybe a million and a half barrels a day
w93XoP5g95o,203400,205319,that come from more temperate locations
w93XoP5g95o,205319,208019,like todderstone and bashkuristan and so
w93XoP5g95o,208019,210599,when the demand profile dropped off and
w93XoP5g95o,210599,211680,the Russians were left with that
w93XoP5g95o,211680,212940,pressure in the pipes and was building
w93XoP5g95o,212940,215640,up to the wellheads they chose to shut
w93XoP5g95o,215640,217140,off the wells and taters down in
w93XoP5g95o,217140,219180,bashkarastan because they knew that they
w93XoP5g95o,219180,220739,could start those up later they knew
w93XoP5g95o,220739,222420,they wouldn't have the freezing issue
w93XoP5g95o,222420,224159,and that allowed the Russians to get
w93XoP5g95o,224159,225299,around it
w93XoP5g95o,225299,227760,this time around with the export ban or
w93XoP5g95o,227760,229500,the fact that the insurance ban expands
w93XoP5g95o,229500,231180,in January to be a lot more cohesive
w93XoP5g95o,231180,233159,it's an open question of what will
w93XoP5g95o,233159,234540,happen first and what will happen
w93XoP5g95o,234540,237060,fastest and we're going to see if the
w93XoP5g95o,237060,240840,price cap has an impact uh the second
w93XoP5g95o,240840,242580,thing that's happened with Euros is that
w93XoP5g95o,242580,245340,the Turks who are one of the world's
w93XoP5g95o,245340,247860,larger importers of Euro Crews have
