ID,index,text
w93XoP5g95o,0,"Hey everybody Peter zein, here coming to you from Colorado uh the news of this week"
w93XoP5g95o,1,"Is this oil export ban that the Europeans are putting in place? The idea is that Russia will still be able to export their crew to International markets, but there is now a price cap in what they can ask it's"
w93XoP5g95o,2,"Currently it's set at 60, although they will change that over time"
w93XoP5g95o,3,"Based on what happens, what happens with International Energy prices? The enforcement mechanism is that the Europeans dominate global insurance and Global Maritime services and that any vessel that is carrying crude"
w93XoP5g95o,4,"That is above that sixty dollars, that was the sale Point, won't be able to access any European Financial or physical services"
w93XoP5g95o,5,"So that's Port access, that's insurance policies and without a maritime insurance policy Your Vessel could not interport exit port or leave a constrained Waterway say like the Suez Canal or the Turkish Straits"
w93XoP5g95o,6,"Now this is this is unprecedented in any number of ways, and so I really don't know how it's going to play out"
w93XoP5g95o,7,"So the purpose of this video is less to give you a firm forecast, but to give you an idea of kind of the Matrix of factors and what matters so that you can kind of draw your own conclusions and have some idea of what to look for The first and most important thing to keep in mind is that not all crude oil is made equal crude oil is not fungible"
w93XoP5g95o,8,"You can't take crude from a Texas field and put it into Refinery that was designed for crude from a Saudi Arabian field and vice versa, and even within Russia we have multiple crude grades, the first one, the one that matters the most is called Euros: crude u-r-a-l-s Uh, it is basically everything that comes from the Northern or Western Siberian projects, as well as a lot of stuff that comes from Southern Russia"
w93XoP5g95o,9,"It'S all put into the same network and sent West to export points via pipe that go through Ukraine or Belarus to Europe or to ports on the Black Sea or the Baltic Sea and collectively you're talking here about about five, maybe five and a half million barrels"
w93XoP5g95o,10,"A day in every given moment of which about half of which is exported now, if, if, if this cap goes wrong and the Russians decide that they're not going to produce at a price that they cannot influence much less control, then what would happen is pressure would Build up in the pipes all the way back up to the wellheads, and since this is in permafrost, when the oil stops flowing in permafrost, it turns to gel, becomes a plug in the pipeline and the water that comes up as a byproduct freezes into ice"
w93XoP5g95o,11,"And when water freezes it cracks the pipe from the inside and it takes years, if not decades, to repair that sort of system"
w93XoP5g95o,12,"The last time this happened at scale, it was 1992 and in 1992 everything went offline"
w93XoP5g95o,13,They took the Russians 30 years to repair the damage
w93XoP5g95o,14,Only most of the repair work was not done by the Russians
w93XoP5g95o,15,It was done by oil services firms and they are no longer operating in Russia for the most part
w93XoP5g95o,16,Now will this happen again? That is the open question
w93XoP5g95o,17,This is a prediction that I made back in
w93XoP5g95o,18,"I want to say April when the world was just going on, it looked like we were going to get to see significant shut-ins and we did to the tune of about a million barrels"
